"Artist_01","Artist_01_Tags","Artist_02","Artist_02_Tags","Song_Title","Collaboration_Status","Release_Year","Region","MB_Rating_Value","MB_Rating_Votes","Peak_Chart_Position"
"Daddy Yankee","hip hop, latin, latin pop, reggae, reggaeton","Ozuna","latin, reggaeton, trap latino","No quiere enamorarse (remix)","Failure","2016","Latin America","","",""
"Daddy Yankee","hip hop, latin, latin pop, reggae, reggaeton","Ozuna","latin, reggaeton, trap latino","Baila baila (remix)","Failure","2020","Latin America","","",""
"Daddy Yankee","hip hop, latin, latin pop, reggae, reggaeton","Ozuna","latin, reggaeton, trap latino","La rompe corazones","Failure","2017","Latin America","","",""
"Daddy Yankee","hip hop, latin, latin pop, reggae, reggaeton","Ozuna","latin, reggaeton, trap latino","China","Failure","2019","Latin America","","",""
"Daddy Yankee","hip hop, latin, latin pop, reggae, reggaeton","Ozuna","latin, reggaeton, trap latino","La fórmula","Failure","2017","Latin America","","",""
"Daddy Yankee","hip hop, latin, latin pop, reggae, reggaeton","Ozuna","latin, reggaeton, trap latino","El desorden","Failure","2017","Latin America","","",""
"Daddy Yankee","hip hop, latin, latin pop, reggae, reggaeton","Ozuna","latin, reggaeton, trap latino","Asesina (remix)","Failure","2018","Latin America","","",""
"Daddy Yankee","hip hop, latin, latin pop, reggae, reggaeton","Ozuna","latin, reggaeton, trap latino","Baila baila baila (remix)","Failure","2019","Latin America","","",""
"Daddy Yankee","hip hop, latin, latin pop, reggae, reggaeton","Karol G","schlager","China","Failure","2019","Latin America","","",""
"Daddy Yankee","hip hop, latin, latin pop, reggae, reggaeton","Luis Fonsi","latin, latin pop, pop","Despacito","Success","2017","Latin America","","",""
"Daddy Yankee","hip hop, latin, latin pop, reggae, reggaeton","Nicky Jam","alternative rock, classic rock, experimental rock, funk rock, grunge, hard rock","Ritmo de la calle","Failure","2001","Latin America","","",""
"Daddy Yankee","hip hop, latin, latin pop, reggae, reggaeton","Nicky Jam","alternative rock, classic rock, experimental rock, funk rock, grunge, hard rock","Vamos pa'la disco","Failure","2004","Latin America","","",""
"Daddy Yankee","hip hop, latin, latin pop, reggae, reggaeton","Nicky Jam","alternative rock, classic rock, experimental rock, funk rock, grunge, hard rock","[untitled]","Failure","2004","Latin America","","",""
"Daddy Yankee","hip hop, latin, latin pop, reggae, reggaeton","Nicky Jam","alternative rock, classic rock, experimental rock, funk rock, grunge, hard rock","Hasta el amanecer (the remix)","Failure","2016","Latin America","","",""
"Daddy Yankee","hip hop, latin, latin pop, reggae, reggaeton","Nicky Jam","alternative rock, classic rock, experimental rock, funk rock, grunge, hard rock","Buscarte","Failure","2003","Latin America","","",""
"Daddy Yankee","hip hop, latin, latin pop, reggae, reggaeton","Nicky Jam","alternative rock, classic rock, experimental rock, funk rock, grunge, hard rock","Tu hombre","Failure","2017","Latin America","","",""
"Daddy Yankee","hip hop, latin, latin pop, reggae, reggaeton","Nicky Jam","alternative rock, classic rock, experimental rock, funk rock, grunge, hard rock","Remix","Failure","2005","Latin America","","",""
"Daddy Yankee","hip hop, latin, latin pop, reggae, reggaeton","Nicky Jam","alternative rock, classic rock, experimental rock, funk rock, grunge, hard rock","Sábanas blancas","Failure","2001","Latin America","","",""
"Daddy Yankee","hip hop, latin, latin pop, reggae, reggaeton","Nicky Jam","alternative rock, classic rock, experimental rock, funk rock, grunge, hard rock","En la cama","Success","2001","Latin America","","",""
"Daddy Yankee","hip hop, latin, latin pop, reggae, reggaeton","Nicky Jam","alternative rock, classic rock, experimental rock, funk rock, grunge, hard rock","Sentirte","Failure","2003","Latin America","","",""
"Daddy Yankee","hip hop, latin, latin pop, reggae, reggaeton","Nicky Jam","alternative rock, classic rock, experimental rock, funk rock, grunge, hard rock","Dime cuándo y dónde","Failure","","Latin America","","",""
"Maluma","latin, latin pop, reggaeton, trap latino","Ozuna","latin, reggaeton, trap latino","Dispuesto","Failure","2019","Latin America","","",""
"Maluma","latin, latin pop, reggaeton, trap latino","Ozuna","latin, reggaeton, trap latino","X (remix)","Failure","2018","Latin America","","",""
"Karol G","schlager","Ozuna","latin, reggaeton, trap latino","Hello","Success","2016","Europe","","",""
"Karol G","schlager","Ozuna","latin, reggaeton, trap latino","ODISEA","Failure","2021","Europe","","",""
"Karol G","schlager","Ozuna","latin, reggaeton, trap latino","Caramelo (remix)","Failure","2020","Europe","","",""
"Karol G","schlager","Ozuna","latin, reggaeton, trap latino","China","Failure","2019","Europe","","",""
"Luis Fonsi","latin, latin pop, pop","Ozuna","latin, reggaeton, trap latino","Imposible","Success","2018","Latin America","","",""
"Nicky Jam","alternative rock, classic rock, experimental rock, funk rock, grunge, hard rock","Ozuna","latin, reggaeton, trap latino","Esto no acaba","Failure","2020","US","","",""
"Nicky Jam","alternative rock, classic rock, experimental rock, funk rock, grunge, hard rock","Ozuna","latin, reggaeton, trap latino","Cumpleaños","Failure","2017","US","","",""
"Nicky Jam","alternative rock, classic rock, experimental rock, funk rock, grunge, hard rock","Ozuna","latin, reggaeton, trap latino","Te robaré","Success","2019","US","","",""
"Nicky Jam","alternative rock, classic rock, experimental rock, funk rock, grunge, hard rock","Ozuna","latin, reggaeton, trap latino","Haciéndolo","Failure","2018","US","","",""
"Nicky Jam","alternative rock, classic rock, experimental rock, funk rock, grunge, hard rock","Ozuna","latin, reggaeton, trap latino","Te robare","Failure","2019","US","","",""
"Nicky Jam","alternative rock, classic rock, experimental rock, funk rock, grunge, hard rock","Ozuna","latin, reggaeton, trap latino","Reggaeton en París","Failure","2019","US","","",""
"Nicky Jam","alternative rock, classic rock, experimental rock, funk rock, grunge, hard rock","Ozuna","latin, reggaeton, trap latino","Millonario (remix)","Failure","2021","US","","",""
"Nicky Jam","alternative rock, classic rock, experimental rock, funk rock, grunge, hard rock","Ozuna","latin, reggaeton, trap latino","rockstar (remix)","Failure","2017","US","","",""
"Nicky Jam","alternative rock, classic rock, experimental rock, funk rock, grunge, hard rock","Ozuna","latin, reggaeton, trap latino","El amante (remix)","Failure","2017","US","","",""
"Nicky Jam","alternative rock, classic rock, experimental rock, funk rock, grunge, hard rock","Ozuna","latin, reggaeton, trap latino","Otro trago (remix)","Failure","2019","US","","",""
"Nicky Jam","alternative rock, classic rock, experimental rock, funk rock, grunge, hard rock","Ozuna","latin, reggaeton, trap latino","X (remix)","Failure","2018","US","","",""
"Karol G","schlager","Maluma","latin, latin pop, reggaeton, trap latino","Créeme","Success","2018","Europe","","",""
"Karol G","schlager","Maluma","latin, latin pop, reggaeton, trap latino","Tá OK (remix)","Failure","2023","Europe","","",""
"Karol G","schlager","Maluma","latin, latin pop, reggaeton, trap latino","+57","Failure","","Europe","","",""
"Maluma","latin, latin pop, reggaeton, trap latino","Nicky Jam","alternative rock, classic rock, experimental rock, funk rock, grunge, hard rock","No puedo olvidarte","Failure","2019","Latin America","","",""
